,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,NUF2,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,NDC80,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T,PAM50
0,0.8121,-2.3945,-1.3461,-1.2152,-0.4477,-0.1063,-0.4026,-1.4527,-2.6631,0.2191,-1.6357,-5.1873,-2.3246,-2.1630000000000003,1.1972,-6.2764,1.9959,2.273,-0.3795,1.064,-0.1111,-3.738,1.4662,-0.9405,-1.8514,-1.7771,-6.6717,-6.3546,-5.9265,1.0483,1.5798,-0.2385,0.8099,-1.8164,2.1407,-4.63,0.525,0.2115,2.9875,0.1808,-0.4217,-4.9736,-2.1383,-1.4187,-4.1152,4.3368,1.9225500000000002,-0.6288,0.5993,-1.14,LumA
1,2.1088,3.1,-2.1653,-1.7849,1.2259,-0.9976,2.4479,2.4708,1.3445,1.6558,2.9981,1.482,3.389,2.408,-2.818,1.979,-1.6184,-7.2445,3.5038,-2.4031,-12.9946,6.9088,-2.7318,-2.9171,2.1069,1.9528,-6.5216,-0.1784,2.7205,-6.8578,1.1244,2.4673,-1.4108,3.1551,-12.6227,-3.8256,1.2664,3.6555,-4.4798,1.0377,-5.4723,-0.3164,2.6156,2.7519,2.5545,-2.9671,-5.7626,1.6063,1.5744,2.5475,Basal
2,-1.7567,0.1252,2.3103,-1.0638,-1.5415,-1.382,-3.0226,-2.2897,-0.18,-3.9807,-1.2294,-5.1837,-2.2915,-1.7071,-0.3213,-3.2304,1.2294,-0.5,-2.2862,-3.147,0.4137,-1.4324,0.0215,0.5782,-1.0966,-2.5708,7.9687,0.4845,-5.2156,0.4714,-0.1124,-1.6562,0.0114,-0.9603,2.7479,5.1116,-3.3246,2.5656,1.1668,-3.076,6.062,-4.228,-1.3611,-3.0675,-5.6948,-0.9732,7.2015,-2.7205,-1.0958,-2.3661,LumA
3,0.9554,1.1368,-0.568,-2.3695,0.935,0.4742,0.5331,1.328,0.6394,0.216,0.8173,4.1398,-0.727,0.7733,-1.1165,3.8323,-1.8823,-7.5982,-0.8774,-4.1716,-9.3386,0.8969,-4.1709,-2.6527,0.7371,0.8996,7.5346,7.8285,5.9006,-4.478,-1.3311,0.2526,0.4432,-0.654,-5.864,1.6753,0.4669,-1.0614,-2.2877,0.3558,-5.7817,1.5404,0.7889,-0.1398,-3.1952,-0.93,-3.8243,0.1802,1.3494,-0.1096,Basal
4,1.7797,2.6335,0.6886,-0.626,1.9677,-0.6331,3.1293,3.0898,2.8617,2.1273,3.2434,-5.525,3.5424,2.411,1.0808,3.3275,1.4014,-9.3183,1.085,-3.6818,-4.7603,5.1577,-1.5085,3.4942,2.5048,2.7907,7.5767,7.9053,0.5104,-4.195,-0.2767,2.5572,-0.1162,2.3173,-8.84,-1.5086,2.7204,0.5106,-2.0927,-0.6864,-5.4469,2.2834,3.0739,2.1254,-7.3423,-2.8209,-2.2993,2.8119,3.0335,1.9988,Basal
5,-1.6084,2.597,-1.1292,-3.6968,-0.5029,0.6432,-0.7106,0.8987,0.2932,-1.0145,-0.2347,3.796,-1.2018,0.3382,-2.3936,3.2060000000000004,-0.8145,-9.3714,-0.2532,2.6949,-0.0462,0.7125,-1.2171,2.0107,-1.2316,-1.1936,0.9494,3.127,3.789,-6.6706,0.3863,-0.7916,0.4581,-0.9991,-2.727,3.4089,0.2993,-2.0827,-2.2874,1.4975,-2.843,1.2391,0.2373,-0.1891,2.6180000000000003,-3.7292,2.1683,-1.2364,0.3654,-0.2426,Her2
6,0.8063,-0.7917,4.3564,1.2913,-0.3401,-0.2884,-0.9016,-2.0727,-0.9598,-1.7456,-0.6344,-3.3099,-0.7020000000000001,-0.3064,1.3742,-3.2188,-0.1233,0.6755,-0.8659,0.4932,1.5013,-1.7009999999999998,-0.4932,-1.3749,-0.3387,-0.5222,-6.3248,-3.9389,-9.0093,0.8072,0.0707,-1.0331,0.7024,-0.534,0.9065,3.2486,-0.6493,-0.5087,3.5755,-0.5226,4.0778,-3.9077,-0.3371,-0.9697,-7.5622,2.9425,2.7023,-0.6304,-0.5964,-0.6545,LumA
7,-1.139,-0.7628,3.2638,0.5345,0.0445,-0.2773,-0.3435,1.0081,-0.1681,0.4258,-0.4514,-3.1631,-0.1416,-0.6447,0.009,0.5479999999999999,7.3766,0.5739,-1.3934,-0.0155,0.157,0.8866,-0.3051,11.1408,0.1452,-0.8640000000000001,0.2765,-2.466,-3.645,-1.5624,0.0386,-1.6845,-0.0792,0.3699,0.5123,1.3985,0.0245,-0.1771,7.3439,-2.3519,7.0225,-1.1986,-1.4108,-0.1454,2.0358,2.5769,-1.6161,-0.0562,-1.3746,-0.4039,LumA
8,-0.5472,1.2683,-2.114,-1.6041,0.6033,1.0847,1.036,0.1823,0.6905,1.4077,-0.0564,1.992,1.6768,1.0058,1.5557,-0.5303,4.7614,0.6587,2.077,2.0507,1.3497,-0.1938,0.5035,7.2157,1.0475,-0.312,-0.2101,0.9735,1.3548,0.8806,0.0738,0.3785,-0.546,0.9564,0.53,0.0271,-0.357,0.3705,0.9446,-0.2252,6.4215,1.5477,1.0482,-0.0516,0.0892,2.5845,-0.052,-1.2013,0.3087,1.575,LumA
9,-0.3631,2.3125,-1.2797,-3.7791,2.0076,0.1308,1.943,4.5651,0.999,1.4052,0.3848,3.9995,3.3812,1.3734,0.5693,2.2925,7.3946,-10.5291,1.777,2.5927,-1.8506,0.2444,0.0872,10.2116,0.9864,0.6531,-6.1308,-2.7573,-1.6982,-2.8529,-0.0168,1.2009,-0.6456,1.7013,-2.8176,1.266,2.3361,1.2494,-3.7883,1.0503,-4.9237,1.4969,0.871,2.1974,2.3869,-1.8694,2.8236,0.2018,1.2523,0.2148,Her2
10,1.9124,-0.3288,0.0205,-1.4368,-0.4524,-0.3873,-0.4468,2.9314,0.6944,-1.7161,0.0187,3.448,-0.7434,-0.3852,-1.9974,1.3156,-1.1447,-6.371,-0.3846,-0.8815,-9.2528,3.1245,-5.8769,-0.7092,0.43,0.6219,4.7598,5.1373,0.0251,-4.592,-1.0892,0.6254,6.336,-0.24,-6.1486,3.099,0.2991,0.1278,-4.2114,1.4523,-0.6004,1.885,0.3225,-1.4134,3.7049,-2.7049,-4.8993,0.4942,0.0327,0.2596,Basal
11,-1.8428,1.0673,-0.7148,1.7733,-0.5356,0.7814,-0.4379,-0.2686,-0.9052,0.7738,-0.3751,0.2469,-0.0183,0.1192,1.1315,2.2889,0.2625,-0.7382,-0.4039,-0.9787,-1.0815,0.1899,-0.6657,5.4086,0.2032,-0.4553,2.1151,2.1163,2.9258,1.7352,1.6156,-0.2227,-0.2147,1.0759,0.6416,-0.0094,-0.5808,1.8798,-0.1453,0.5569,6.658,-1.3742,0.026,-0.9146,1.7611,-0.7619,1.3502,-1.1848,1.9183,-0.7594,LumA
12,3.1258,1.9397,1.1233,-1.6194,2.4016,-1.6459,1.261,2.8248,2.8239,1.6269999999999998,1.4881,2.8804,3.6164,2.3221,0.5937,2.6389,-1.4485,-4.6739,2.6426,-0.4042,-10.6723,5.0425,-1.9937,-0.7429,2.0836,1.8074,3.9411,4.2566,4.4918,-6.053,-0.6679,2.3025,2.6943,2.1648,-2.0087,-2.2009,2.9003,1.5336,-2.6097,2.4988,-4.5732,3.1634,1.1725,0.7301,3.1751,-1.4383,-5.2084,1.4837,2.1174,1.9428,Basal
13,-0.4742,-3.7504,-0.6051,2.0381,-2.9549,-1.3671,-1.6028,-1.9945,-1.8974,-1.7506,-1.874,1.8839,-2.7954,-3.1812,1.5559,1.1101,1.0966,3.3853,-2.938,-0.5381,1.5887,1.1922,1.3435,4.6361,-3.3081,0.2835,7.2067,7.7624,5.393,3.3292,0.1737,-1.9395,1.1722,-2.5589,0.6001,1.4904,-3.5177,0.5071,4.1108,0.9541,11.3074,-1.8771,-1.8781,-2.9911,4.2761,4.9286,1.39,-0.768,-2.6993,-2.769,LumA
14,-0.1281,0.4107,2.1781,-0.4187,-2.5127,0.957,-0.0535,-1.2516,-0.7837,-2.3488,-0.96825,-0.7006,-0.1072,-1.6757,1.7224,2.0028,-2.1578,-0.4125,-0.5529999999999999,-4.1062,0.0923,1.2463,-0.0258,-2.6687,-0.6956,0.8509,2.8349,1.8807,1.73,1.1828,0.7584,-0.7697,-0.2655,-1.3321,-0.9962,1.2548,-1.3466,-1.9118,8.0786,-0.4311,6.32,2.4403,0.8831,-0.1572,4.2486,0.3085,-3.6098,-1.2678,-0.297,-0.4901,LumA
15,-1.1375,-1.2968,2.326,2.5596,1.0589,-0.3748,-0.6197,-1.3104,-2.1124,-2.8376,-2.0247,-2.3653,-1.2278,-1.3771,1.5508,-0.1682,1.1524,3.8068,-2.3385,2.0132,4.03,0.3676,-0.2205,3.8344,-2.0002,-0.8197,-6.5755,-7.0189,-6.4468,1.0649,-0.0562,-0.6248,2.063,-0.2179,3.0364,0.1,-2.4751,-0.4291,-2.4948,-2.3485,-0.918,-1.7458,-1.4014,-1.2158,-5.9233,6.9544,-2.4739,-0.4531,-1.3156,-0.7286,LumA
16,1.704,1.4627,-0.7757,-2.8232,0.9724,-1.0172,1.1832,3.1155,1.9894,1.7707,2.8278,2.9411,2.268,1.7871,-3.3644,3.3546,0.3238,-5.1486,3.2701,-0.5455,-4.171,6.8004,-2.6385,2.6529,2.1196,1.4671,2.9956,3.3613,4.2348,-4.9964,-0.757,3.7988,-0.7085,1.3374,-4.4866,1.9191,2.2655,0.835,-4.6724,2.838,-4.0439,1.9904,1.9685,1.624,2.5468,-3.3938,-4.396,2.1561,0.8533,0.9423,Basal
17,1.3637,2.176,0.2608,-3.0341,1.2346,-0.3647,0.1167,1.1204,2.3699,-0.1005,1.8715,4.2415,1.3224,0.862,-2.1617,4.5713,-1.2013,-9.0757,1.904,0.4845,-11.7416,5.1463,-3.1043,0.2938,0.7295,1.6015,-0.475,0.4771,-2.7110000000000003,-1.8342,0.0737,1.7325,2.6717,0.4132,-4.2982,-2.7386,0.8558,2.6044,-1.9888,0.732,-3.7562,1.4402,0.2572,0.0647,7.0983,-2.4521,-3.6307,1.6699,0.5923,1.0854,Basal
18,0.2639,-3.6704,3.1999,3.1043,-3.8169,-2.0183,-2.2864,-2.567,-3.3464,-3.5835,-3.4625,0.3,-2.9258,-2.74475,1.4434,0.0362,1.3264,0.4783,-2.6854,0.5663,-0.4984,0.1939999999999999,2.0933,4.8131,-3.5623,-3.1326,4.1615,4.709,3.2954,2.6082,0.4291,-3.4761,-0.4646,-2.3074,1.8222,-1.3902,-4.5535,-0.3871,8.3707,-5.1902,9.5589,-4.2313,-3.2906,-3.2967,2.5726,3.7181,0.2149,-2.8075,-3.7902,-1.357,LumA
19,-0.0261,2.1216,-0.8597,-0.7558,0.2576,-0.4391,1.3330000000000002,1.1897,2.0753,7.4979,1.211,1.5543,2.8948,1.3402,0.1038,-0.8995,8.5834,-1.7069,0.5809,0.8256,0.2278,-2.812,-0.0856,11.3534,1.4240000000000002,1.5683,-2.4019,-0.0753,-1.3541,0.1087,-1.2571,2.1762,-0.3817,2.3069,-1.1315,3.8723,1.1427,-1.3122,3.3603,0.1406,5.4023,-0.9886,1.0212,1.3644,-5.4509,-1.7412,1.3082,0.0139999999999999,0.7328,2.3668,Her2
20,-0.4589999999999999,-1.6265,0.5035,1.0446,-2.1522,-0.6983,-1.3182,-2.2144,-1.8451,-2.1983,-1.5548,-5.8286,-1.0619,-1.7655,1.1581,-0.3004,0.3564,3.0956,-1.4407,-4.0121,1.1897,-1.5751,2.5004,-1.7827,-2.2812,-0.6552,-12.4414,-10.3662,-8.4358,3.8402,0.8603,-2.1678,1.1855,-1.4084,0.5227,4.274,-3.4909,-3.6792,8.0818,-3.6101,8.7788,-1.9093,-2.0132,-1.3566,-3.4711,3.5389,1.5596,-1.8841,-2.8329,-1.1519,LumA
21,0.0093,1.6244,0.514,-2.5589,1.9502,-0.7929,1.7347,2.4421,2.7136,1.7724,3.3784,4.8532,1.1139,2.0549,0.9672,3.7266,-1.1134,-7.5964,1.3219999999999998,0.2402,-7.3034,0.8388,-1.4129,0.0951,2.2027,3.9297,6.1251,1.2819,4.3528,-3.7706,0.1136,1.4174,-0.1426,1.3723,-5.9956,-2.8005,1.9254,1.7707,-2.6147,1.6649,-8.8803,0.0836,1.9939,1.7022,-1.6493,-1.366,-2.0202,2.3728,2.8166,0.5505,Basal
22,-0.1795,-0.2419,0.0352,-4.2793,-0.3635,1.0854,0.5748,0.1214,0.8139,-0.7024,-1.0999,-0.1079,-0.7639,-0.5895,-0.9909,2.2,0.6009,-10.6354,0.1043,3.8072,-0.2908,-1.0671,-1.801,-1.0067,0.0338,-0.4056,7.433,-3.0478,-2.1454,-2.5831,-0.1664,0.1716,-0.0057,-0.5638,1.2643,2.6467,0.1416,-2.5517,-1.4547,0.518,-4.0529,-0.1451,-0.8384,1.0933,-2.4218,-1.3208,4.0594,-0.8357,-0.1466,-0.3473,Her2
23,-1.9026,0.0175,-0.9034,-3.8815,0.1002,0.7659,-0.6464,-0.0741,0.2008,-0.3042,-2.1435,-1.3093,-2.0294,-0.8793,0.8256,2.9560000000000004,-0.2433,-8.3294,-1.29,5.3305,1.2163,-0.6774,0.1906,1.9905,-0.5712,-2.1485,-1.8928,-0.2747,0.6031,-1.5015,0.091,-1.4386,0.0251,-0.291,0.9732,-0.7842,-0.265,-0.5693,-2.8875,-0.3282,-3.4607,-0.2479,-0.5548,0.3567,-2.5423,-3.26,4.6892,-1.8346,-1.1085,-1.6808,Her2
24,1.1552,-2.1211,-1.0463,0.7772,-4.1408,-1.3131,-1.8716,-1.6619,-5.1218,-2.7894,-1.534,-6.1266,-2.2765,-2.4966,-0.6394,-1.5821,-0.7735,3.8654,-2.5842,-7.9672,1.3071,-0.215,1.108,-1.94475,-3.9069,-2.1887,-4.5622,-5.0202,-2.055,2.1677,1.3413,-3.0446,-3.5813,-2.7044,-0.6813,-2.4111,-7.3242,-2.0883,6.1082,-3.012,6.2942,-3.8722,-3.1733,-2.5045,0.1121,2.0685,0.2793,-1.3374,-4.6486,-1.8671,LumA
25,0.484,1.2711,-1.5198,0.307,1.6021,-0.627,2.3928,1.1263,1.6842,0.8364,2.5733,-1.6373,2.1482,2.3154,0.5366,-2.971,-0.1173,0.6461,1.8855,-1.1876,0.1421,-3.1218,-0.6282,-0.6179,1.0732,2.4076,8.6849,-3.221,-4.3646,1.5084,-0.4309,2.3227,-0.8490000000000001,2.1522,-0.156,2.1607,2.2686,3.3710000000000004,1.2854,0.4781,6.7125,-3.8553,2.1793,1.0758,-4.4343,2.2786,-1.2861,1.2967,2.1630000000000003,2.8773,LumB
26,-0.5837,-1.7453,1.7756,1.9412,-1.2754,2.0281,1.7078,-1.6045,-1.7329,-1.7824,-0.6445,-3.2553,0.596,-0.996,-0.9858,0.3159,-0.0104,3.0403,-1.0738,-5.138,1.7371,-1.0257,1.7697,3.9472,-1.9156,-0.8490000000000001,-2.3157,-0.9163,-1.6339,3.1745,0.155,-1.3196,-1.286,-1.0274,1.6074,4.5519,-2.3492,-3.7306,8.3709,-3.6476,7.0471,-2.5692,-2.2063,-0.6117,-0.8021,5.4843,1.9967,-0.9827,-1.8238,-0.7855,LumA
27,0.2821,-0.0417,-0.1627,0.3586,-1.9334,0.9703,-0.4269,-0.7463,-0.4518,2.185,-0.7003,-1.1471,-0.7837,-0.2478,-1.0531,-0.1267,-1.0604,0.6553,-1.3292,-7.2751,-0.1386,2.5247,-0.7672,-1.4203,-0.3807,-0.4173,10.5521,11.1472,5.7308,2.5501,0.7493,-0.0715,-0.612,-0.3932,-0.7283,3.4925,-0.142,2.8576,-3.3847,2.4614,7.1592,-0.6606,-0.4375,-1.3307,1.0503,1.1595,4.573,-0.001,-0.7039,-1.0507,LumA
28,0.0086,0.5933,0.6748,3.5583,0.4533,1.034,-0.7206,0.7217,-0.1911,0.5543,0.976,-0.8437,1.7178,1.0416,1.4184,-2.8909,-0.0737,2.1831,0.6216,-0.2355,0.3682,-1.3036,3.2901,-0.4625,1.0275,0.8889,6.4759,-1.4407,-1.6488,-5.0484,2.2933,0.1375,0.1481,-0.4644,2.1939,-5.226,0.1172,1.7364,-0.976,0.6888,-1.3143,-5.4041,0.4113,0.3224,-1.3838,5.5891,-6.0406,1.1482,0.6758,1.0293,LumB
29,-1.3974,1.7338,1.0562,-0.6908,2.6707,1.7734,2.2089,-0.118,1.2061,0.1646,2.205,-3.3365,1.92,1.4011,1.2158,-3.7226,-0.8692,-0.1483,1.4736,-1.2819999999999998,0.5728,-2.1421,0.3678,-1.9635,1.0908,1.6162,-4.1263,-2.3672,-4.1451,0.1792,0.9043,1.596,0.6833,2.2164,1.2238,0.3734,2.9705,1.4834,4.9012,0.3754,6.1964,-1.8444,2.4148,1.3588,-4.3305,6.3366,-1.7784,1.4316,2.9002,2.4844,LumB
30,1.8748,1.5275,0.2569,-2.031,2.7262,-0.4028,2.5216,1.8816,2.7021,0.3453,1.6278,2.1928,0.4942,1.5487,0.8306,-0.1697,-1.0839,-4.2161,1.1142,0.38,-7.792000000000001,2.6738,-1.8867,-0.6755,2.3662,2.063,-1.533,-3.1096,-1.3291,-4.2368,-0.7216,1.3223,1.8032,-0.2687,-4.2161,-1.1701,1.9002,1.7025,-1.382,1.1093,-6.0334,2.6577,1.9869,1.4252,2.5945,-0.9292,-5.1456,2.0588,1.6814,1.4338,Basal
31,2.0662,-0.3922,-0.2564,0.6255,0.8284,-0.1335,1.5066,1.3451,2.4378,0.2767,0.8481,1.2433,0.6195,0.6467,-2.5908,0.8733,-1.165,-3.4106,0.8163,0.1653,-5.7241,2.6555,-3.2754,0.3549,2.02615,2.0489,-2.8021,0.5451,3.1847,-3.0613,-0.6711,-0.5562,-0.1228,0.7509,-6.5685,-0.1971,0.7373,0.6368,-4.1265,0.7012,-2.9253,2.5603,0.6691,-0.3982,4.3809,-1.2159,-4.68415,1.5842,0.9873,1.2737,Basal
32,0.9888,1.9683,-0.074,-2.899,-0.4792,-2.3265,0.348,0.6781,0.9632,0.9568,1.5804,1.4106,1.4192,2.1830000000000003,-3.4113,1.4508,-2.4782,-7.8987,1.398,-3.9005,-8.0377,5.5055,-0.8249,-2.3809,1.5075,2.3289,4.1571,4.4558,4.1866,-2.9837,-0.2614,2.016,-1.9141,1.5265,-6.8849,-0.4923,-0.3126,0.8369,-3.4188,0.412,-2.395,-0.5826,1.2416,0.8906,3.3474,-0.6591,-2.9527,0.835,1.3318,1.5454,Basal
33,-0.6069,0.2688,-2.2245,-3.7488,-0.20135,0.7217,-0.5196,4.222,1.6272,-0.2988,-1.3949,3.4824,-0.9646,-0.0135,-0.0433,3.4745,0.4604,-6.5642,-0.2246,3.4930000000000003,-0.4904,-0.7744,0.474,0.5579,0.3119,0.2441,-5.2521,-1.4376,6.1892,-3.0614,-1.7084,0.7390000000000001,-0.298,0.8065,-0.222,1.9274,1.7734,-0.067,-4.5919,0.4832,-4.5814,2.4847,-0.3564,0.6681,-6.8549,-2.0047,3.6511,-1.0539,0.7179,-0.6429,Her2
34,-1.0602,-3.1701,2.8057,2.0106,-2.783,-0.2444,-1.3758,-1.7954,-5.0747,0.4178,-2.6784,-5.1247,-1.7305,-2.357,2.0933,-3.7597,0.2025,2.7453,-1.7745,-1.9856,0.5185,-0.6772,1.3968,-0.32165,-3.5853,-2.5956,-1.482,7.0696,-1.9577,0.5943,3.7495,-1.9128,-1.0286,-3.5535,1.2697,-1.4898,-3.0739,-0.1743,3.0941,-3.0780000000000003,5.4525,-2.7558,-2.5946,-2.3386,-0.9489,5.7554,0.4883,-1.5766,-3.0714,-1.0362,LumA
35,0.0231,-2.4205,2.6319,2.5702,-3.0178,0.0072,-1.9869,-2.9469,-2.3091,-0.6115,-1.9359,0.1524,-2.0763,-2.1851,0.6988,-1.4347,-0.0191,3.5169,-2.2831,-4.0742,0.5675,0.0031,1.6277,-1.2438,-2.4132,-1.9148,-0.2094,-0.2253,-0.7490000000000001,3.4191,0.7175,-2.5281,1.7499,-1.7247,1.9414,-3.6928,-4.2667,-1.5493,3.3793,-3.8828,9.6312,0.7496,-2.5363,-1.4308,0.4799,4.5360000000000005,0.0061,-1.17395,-3.0125,-0.8987,LumA
36,-0.3462,-1.5941,2.2298,1.0994,-3.4614,3.1273,-1.9226,-1.9781,-3.6323,-1.25,-1.986,-1.0788,-1.6942,-1.9418,3.1604,1.9045,-1.1908,-0.3303,-2.0704,-5.057,1.7523,2.7135,0.6958,-1.6551,-3.4184,-1.4297,2.4717,6.836,2.9943,-1.9883,0.4808,-1.9007,-0.4832,-2.9507,-0.4305,1.4375,-4.5613,-0.634,0.0757,-3.3291,5.4436,-0.8149,-1.9915,-1.951,4.2752,5.4787,-2.1977,-1.4099,-2.8406,-0.9659,LumA
37,1.7376,0.3012,-0.8937,-2.0631,1.8373,-0.318,0.3095,5.0447,1.5742,-0.0474,2.4892,1.8333,2.43,1.6843,-2.9903,0.5259,0.2647,-8.5785,0.5225,3.6064,-11.6583,3.233,-2.6551,-2.6684,1.393,1.9691,-6.7994,1.3321,2.4089,-6.4777,-0.239,2.5699,-0.0042,1.3408,-6.479,-1.0529,2.0634,-0.1655,-4.246,2.4781,-4.2998,0.4796,1.9703,1.3718,-2.8736,-1.5022,-3.337,2.6951,2.9685,1.3442,Basal
